,Label,String,clean_text,encoded_label
0,Non-bullying,"""Kaka tidur yaa, udah pagi, gaboleh capek2""",kaka tidur yaa sudah pagi tidak boleh capek2,1
1,Non-bullying,"""makan nasi padang aja begini badannya""",makan nasi padang saja badannya,1
2,Bullying,"""yang aku suka dari dia adalah selalu cukur jembut sebelum manggung""",suka cukur jembut manggung,0
3,Non-bullying,"""Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa""",hai kak isyana ngefans sekali kak isyana suka lagu kak isyana lagu didalam jiwa,1
4,Non-bullying,"""Manusia apa bidadari sih herann deh cantik terus ????""",manusia bidadari sih herann deh cantik,1
5,Bullying,"""@ayu.kinantii isyan skrg berubah ya:( baju nya nakal""",<USERNAME> kinantii isyan sekarang berubah ya baju nya nakal,0
6,Non-bullying,"""Gemesnya isyan kayak tango, berlapis lapis ciaaaa""",gemesnya isyan mirip tango berlapis lapis ciaaaa,1
7,Bullying,"""Makin jelek aja anaknya, padahal ibu ayahnya cakep2""",jelek saja anaknya ayahnya cakep2,0
8,Bullying,"""Kok anaknya kayak udah tua gitu ya mukanya kk tasya""",anaknya mirip sudah tua begitu ya mukanya kartu keluarga tasya,0
9,Bullying,"""Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya""",muka anak nya ko tua sekali yaa tidak ngegemesin tidak lucu2nya,0
10,Bullying,"""Muka nya muka kolot wkwk bukan muka bayi2 lucu gt""",muka nya muka kolot wkwk muka bayi2 lucu begitu,0
11,Bullying,"""Udah gila sekarang ini orang wkwk, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu""",sudah gila orang wkwk sudah jomblo psikolog tidak laku ya,0
12,Bullying,"""Lo sintingnya udah tingkat dewa""",kamu sintingnya sudah tingkat dewa,0
13,Bullying,"""Sepertinya Lutfi setelah putus dgn salsa seperti orang stress""",lutfi putus dengan salsa orang stress,0
14,Bullying,"""ANAK TOLOL INI MULAI AKTIF YA BUND""",anak tolol aktif ya bund,0
15,Bullying,"""bisa mati aja ga? gedeg gua liat lu. ANJIM""",mati saja tidak gedeg saya liat kamu anjim,0
16,Bullying,"""Woy Lutfi asu , sok asik Lo ANJING !""",woy lutfi asu sok asyik kamu anjing,0
17,Bullying,"""Apasih kontol berantem aja lah ayo bngst @lutfiagizal""",apasih kontol bertengkar saja ayo bngst <USERNAME>,0
18,Bullying,"""Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya""",pelakor plus hamil nikah ya pantas anaknya seperti gini modelannya,0
